matchId,champion,kills,deaths,assists,win,cs,gold,timePlayed,gameMode,queueId
EUW1_7508711682,Brand,10,15,39,True,48,15559,1305,ARAM,450
EUW1_7508708218,Ziggs,2,2,9,True,3,3350,257,ARAM,450
EUW1_7508696010,Yone,7,5,4,True,0,10250,1212,CHERRY,1700
EUW1_7508685464,Skarner,5,4,9,True,0,15500,1613,CHERRY,1700
EUW1_7506587262,Pyke,10,11,14,False,16,15766,1480,URF,900
EUW1_7506575303,Corki,8,10,13,True,106,16173,1272,URF,900
EUW1_7506558416,Quinn,6,17,15,False,120,16191,1513,URF,900
EUW1_7506555658,Tryndamere,17,6,9,True,105,18184,1072,URF,900
EUW1_7504751835,Jhin,13,8,10,False,51,13352,1176,URF,900
EUW1_7504730231,Rakan,4,5,15,True,20,10331,969,URF,900
EUW1_7504702385,Blitzcrank,11,8,12,True,53,11619,997,URF,900
EUW1_7504686479,Poppy,4,5,1,False,7,5974,969,CLASSIC,440
EUW1_7503665755,FiddleSticks,11,5,8,False,89,13441,1156,URF,900
EUW1_7503634365,Jhin,6,4,6,False,117,13767,1200,URF,900
EUW1_7502873724,Shyvana,9,12,5,False,107,14836,1089,URF,900
EUW1_7502833279,Ezreal,4,7,6,False,139,15883,1283,URF,900
EUW1_7502809278,Lucian,7,5,3,False,134,13398,832,URF,900
EUW1_7502578898,Shyvana,8,2,5,True,110,17523,1047,URF,900
EUW1_7502554048,Gragas,7,11,11,True,44,11127,964,URF,900
EUW1_7502280961,Ekko,3,14,3,False,115,12447,1158,URF,900
