Date,Description,Amount,Transaction Type,Category,Account Name,Type,Month,Year,MonthYear,AbsAmount,CumulativeBalance,Budget,BudgetUsedPct
2018-01-01,Amazon,11.11,debit,Shopping,Platinum Card,Expense,1,2018,2018-01,11.11,11.11,100.0,11.11
2018-01-02,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,Expense,1,2018,2018-01,1247.44,1258.55,1100.0,113.40363636363637
2018-01-02,Thai Restaurant,24.22,debit,Restaurants,Silver Card,Expense,1,2018,2018-01,24.22,1282.77,150.0,16.146666666666665
2018-01-03,Credit Card Payment,2298.09,credit,Credit Card Payment,Platinum Card,Income,1,2018,2018-01,2298.09,3580.86,,
2018-01-04,Netflix,11.76,debit,Movies & DVDs,Platinum Card,Expense,1,2018,2018-01,11.76,3592.6200000000003,0.0,
2018-01-05,American Tavern,25.85,debit,Restaurants,Silver Card,Expense,1,2018,2018-01,25.85,3618.4700000000003,150.0,17.233333333333334
2018-01-06,Hardware Store,18.45,debit,Home Improvement,Silver Card,Expense,1,2018,2018-01,18.45,3636.92,250.0,7.379999999999999
2018-01-08,Gas Company,45.0,debit,Utilities,Checking,Expense,1,2018,2018-01,45.0,3681.92,150.0,30.0
2018-01-08,Hardware Store,15.38,debit,Home Improvement,Silver Card,Expense,1,2018,2018-01,15.38,3697.3,250.0,6.152
2018-01-09,Spotify,10.69,debit,Music,Platinum Card,Expense,1,2018,2018-01,10.69,3707.9900000000002,11.0,97.18181818181819
2018-01-10,Phone Company,89.46,debit,Mobile Phone,Checking,Expense,1,2018,2018-01,89.46,3797.4500000000003,65.0,137.63076923076923
2018-01-11,Grocery Store,43.54,debit,Groceries,Platinum Card,Expense,1,2018,2018-01,43.54,3840.9900000000002,150.0,29.026666666666667
2018-01-11,Shell,34.87,debit,Gas & Fuel,Platinum Card,Expense,1,2018,2018-01,34.87,3875.86,75.0,46.49333333333333
2018-01-12,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,Income,1,2018,2018-01,2000.0,5875.860000000001,,
2018-01-13,Pizza Place,32.91,debit,Fast Food,Platinum Card,Expense,1,2018,2018-01,32.91,5908.77,15.0,219.4
2018-01-13,Amazon,39.05,debit,Shopping,Platinum Card,Expense,1,2018,2018-01,39.05,5947.820000000001,100.0,39.05
2018-01-15,Grocery Store,44.19,debit,Groceries,Silver Card,Expense,1,2018,2018-01,44.19,5992.01,150.0,29.459999999999997
2018-01-15,American Tavern,64.11,debit,Restaurants,Silver Card,Expense,1,2018,2018-01,64.11,6056.12,150.0,42.74
2018-01-16,City Water Charges,35.0,debit,Utilities,Checking,Expense,1,2018,2018-01,35.0,6091.12,150.0,23.333333333333332
2018-01-16,Power Company,60.0,debit,Utilities,Checking,Expense,1,2018,2018-01,60.0,6151.12,150.0,40.0
2018-01-19,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,Income,1,2018,2018-01,2000.0,8151.12,,
2018-01-20,Amazon,50.21,debit,Shopping,Platinum Card,Expense,1,2018,2018-01,50.21,8201.33,100.0,50.21
2018-01-22,Hardware Store,17.38,debit,Home Improvement,Silver Card,Expense,1,2018,2018-01,17.38,8218.71,250.0,6.952
2018-01-22,Credit Card Payment,309.81,credit,Credit Card Payment,Silver Card,Income,1,2018,2018-01,309.81,8528.519999999999,,
2018-01-22,Credit Card Payment,554.99,credit,Credit Card Payment,Platinum Card,Income,1,2018,2018-01,554.99,9083.509999999998,,
2018-01-23,Credit Card Payment,309.81,debit,Credit Card Payment,Checking,Expense,1,2018,2018-01,309.81,9393.319999999998,,
2018-01-24,Starbucks,3.0,debit,Coffee Shops,Platinum Card,Expense,1,2018,2018-01,3.0,9396.319999999998,15.0,20.0
2018-01-25,Internet Service Provider,69.99,debit,Internet,Checking,Expense,1,2018,2018-01,69.99,9466.309999999998,75.0,93.32
2018-01-29,Shell,30.42,debit,Gas & Fuel,Silver Card,Expense,1,2018,2018-01,30.42,9496.729999999998,75.0,40.56
2018-01-29,Thai Restaurant,25.0,debit,Restaurants,Silver Card,Expense,1,2018,2018-01,25.0,9521.729999999998,150.0,16.666666666666664
2018-01-29,Brunch Restaurant,17.62,debit,Restaurants,Platinum Card,Expense,1,2018,2018-01,17.62,9539.349999999999,150.0,11.746666666666668
2018-02-01,Grocery Store,27.79,debit,Groceries,Platinum Card,Expense,2,2018,2018-02,27.79,9567.14,150.0,18.526666666666667
2018-02-01,Amazon,11.11,debit,Shopping,Platinum Card,Expense,2,2018,2018-02,11.11,9578.25,100.0,11.11
2018-02-02,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,Expense,2,2018,2018-02,1247.44,10825.69,1100.0,113.40363636363637
2018-02-02,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,Income,2,2018,2018-02,2000.0,12825.69,,
2018-02-03,Japanese Restaurant,57.02,debit,Restaurants,Platinum Card,Expense,2,2018,2018-02,57.02,12882.710000000001,150.0,38.013333333333335
2018-02-04,Netflix,11.76,debit,Movies & DVDs,Platinum Card,Expense,2,2018,2018-02,11.76,12894.470000000001,0.0,
2018-02-05,Credit Card Payment,145.14,credit,Credit Card Payment,Platinum Card,Income,2,2018,2018-02,145.14,13039.61,,
2018-02-06,Credit Card Payment,154.13,credit,Credit Card Payment,Silver Card,Income,2,2018,2018-02,154.13,13193.74,,
2018-02-07,Credit Card Payment,154.13,debit,Credit Card Payment,Checking,Expense,2,2018,2018-02,154.13,13347.869999999999,,
2018-02-07,Gas Company,65.0,debit,Utilities,Checking,Expense,2,2018,2018-02,65.0,13412.869999999999,150.0,43.333333333333336
2018-02-09,Barbershop,30.0,debit,Haircut,Platinum Card,Expense,2,2018,2018-02,30.0,13442.869999999999,30.0,100.0
2018-02-09,Spotify,10.69,debit,Music,Platinum Card,Expense,2,2018,2018-02,10.69,13453.56,11.0,97.18181818181819
2018-02-10,Bojangles,10.66,debit,Fast Food,Platinum Card,Expense,2,2018,2018-02,10.66,13464.22,15.0,71.06666666666666
2018-02-11,Fancy Restaurant,106.8,debit,Restaurants,Platinum Card,Expense,2,2018,2018-02,106.8,13571.019999999999,150.0,71.2
2018-02-12,Shell,36.47,debit,Gas & Fuel,Silver Card,Expense,2,2018,2018-02,36.47,13607.489999999998,75.0,48.626666666666665
2018-02-12,Phone Company,89.52,debit,Mobile Phone,Checking,Expense,2,2018,2018-02,89.52,13697.009999999998,65.0,137.72307692307692
